category,clasificacion,code8,description
Hostelería y restauración,Suministros,03000000,"Productos de la agricultura, ganadería, pesca, silvicultura y productos afines"
Hostelería y restauración,Suministros,03100000,Productos de la agricultura y horticultura
Hostelería y restauración,Suministros,03110000,"Cultivos, productos comerciales de jardinería y horticultura"
Hostelería y restauración,Suministros,03111000,Semillas
Hostelería y restauración,Suministros,03111100,Soja
Hostelería y restauración,Suministros,03111200,Cacahuetes
Hostelería y restauración,Suministros,03111300,Semillas de girasol
Hostelería y restauración,Suministros,03111400,Semillas de algodón
Hostelería y restauración,Suministros,03111500,Semillas de sésamo
Hostelería y restauración,Suministros,03111600,Semillas de mostaza
Hostelería y restauración,Suministros,03111700,Semillas de hortalizas
Hostelería y restauración,Suministros,03111800,Semillas de frutos
Hostelería y restauración,Suministros,03111900,Semillas de flores
Hostelería y restauración,Suministros,03112000,Tabaco sin elaborar
Hostelería y restauración,Suministros,03113000,Plantas utilizadas para la fabricación de azúcar
Hostelería y restauración,Suministros,03113100,Remolacha azucarera
Hostelería y restauración,Suministros,03113200,Caña de azúcar
Hostelería y restauración,Suministros,03114000,Paja y plantas forrajeras
Hostelería y restauración,Suministros,03114100,Paja
Hostelería y restauración,Suministros,03114200,Plantas forrajeras
Hostelería y restauración,Suministros,03115000,Materias vegetales en bruto
Hostelería y restauración,Suministros,03115100,Materias vegetales en bruto utilizadas en la fabricación de textiles
Hostelería y restauración,Suministros,03115110,Algodón
Hostelería y restauración,Suministros,03115120,Yute
Hostelería y restauración,Suministros,03115130,Lino
Hostelería y restauración,Suministros,03116000,Caucho y látex naturales y productos afines
Hostelería y restauración,Suministros,03116100,Caucho natural
Hostelería y restauración,Suministros,03116200,Látex natural
Hostelería y restauración,Suministros,03116300,Productos de látex
Hostelería y restauración,Suministros,03117000,Plantas utilizadas para usos específicos
Hostelería y restauración,Suministros,03117100,"Plantas utilizadas en perfumería o farmacia, o en la elaboración de insecticidas o con fines análogos"
Hostelería y restauración,Suministros,03117110,Plantas utilizadas en perfumería
Hostelería y restauración,Suministros,03117120,Plantas utilizadas en farmacia
Hostelería y restauración,Suministros,03117130,Plantas utilizadas en la elaboración de insecticidas
Hostelería y restauración,Suministros,03117140,Plantas utilizadas en la elaboración de pesticidas o fungicidas o con fines análogos
Hostelería y restauración,Suministros,03117200,Semillas de plantas utilizadas para usos específicos
Hostelería y restauración,Suministros,03120000,Productos de horticultura y viveros
Hostelería y restauración,Suministros,03121000,Productos de horticultura
Hostelería y restauración,Suministros,03121100,"Plantas vivas, bulbos, raíces y esquejes"
Hostelería y restauración,Suministros,03121200,Flores cortadas
Hostelería y restauración,Suministros,03121210,Arreglos florales
Hostelería y restauración,Suministros,03130000,Cultivos de especias y de plantas para bebidas
Hostelería y restauración,Suministros,03131000,Cultivos de plantas para bebidas
Hostelería y restauración,Suministros,03131100,Café en grano
Hostelería y restauración,Suministros,03131200,Plantas de té
Hostelería y restauración,Suministros,03131300,Mate
Hostelería y restauración,Suministros,03131400,Cacao en grano
