SourceFile,PlazoPresentacionFecha,OrganismoConvocante,InformacionWeb,Presupuesto,Objeto,Score
20251104_Licitaciones.xlsx,11/18/2025,AYUNTAMIENTO DE LLEIDA,contractaciopublica.cat/es/detall-publicacio/300606466,25440,"Contratación de un servicio de fotografía y vídeo profesional por el Ayuntamiento de Lleida y establecimiento de un mecanismo de trabajo profesional audiovisual en relación con los actos oficiales y actividades municipales que dependen de la Sección de Comunicación. Organizar un sistema de trabajo para la realización, retoque y archivo de las fotografías y vídeos solicitadas por la Sección de Comunicación.",1
20251104_Licitaciones.xlsx,11/18/2025,GENERALITAT DE CATALUNYA. DEPARTAMENTO DE EMPRESA Y TRABAJO,contractaciopublica.cat/es/detall-publicacio/300606474,37443.5,2.6.11 Organización y ejecución de la competición de retos Challenge iFest Competition.,2
20251104_Licitaciones.xlsx,11/17/2025,AYUNTAMIENTO DE MATADEPERA (BARCELONA),contractaciopublica.cat/es/detall-publicacio/300603121,35090.33,"El objeto de este contrato es el servicio integral para la web de Matadepera Radio que consiste en el diseño de la página web, streaming, grabación, podcast, responsive, con aplicación en Smart Phone para Apple y Android, distribución y alojamiento y backups de los contenidos digitales de la emisora.",4
20251104_Licitaciones.xlsx,11/19/2025,AYUNTAMIENTO DE BARCELONA,contractaciopublica.cat/es/detall-publicacio/300604217,13223.14,Elaboración de las actas de los órganos de participación. Con medidas de contratación sostenible.,1
20251104_Licitaciones.xlsx,11/20/2025,BARCELONA DE SERVEIS MUNICIPALS SA,contractaciopublica.cat/es/detall-publicacio/300606433,80000,2025MK0170AC - Comercialización en exclusiva de la publicidad en las bicicletas y estaciones del servicio de Bicing.,1
20251104_Licitaciones.xlsx,11/18/2025,CONSORCI DE LES BIBLIOTEQUES DE BARCELONA,contractaciopublica.cat/es/detall-publicacio/300604700,51580,"Servicios de creatividad de proyectos y acciones de comunicación, de maquetación de nuevos diseños, así como de producción de adaptaciones visuales de campañas y de acciones de comunicación de Bibliotecas de Barcelona.",5
20251104_Licitaciones.xlsx,11/21/2025,DIRECCIÓN DEL MUSEO NACIONAL DEL PRADO,contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=0T7isO350ag4NavIWzMcHA%3D%3D,68000,Servicio de elaboración de visitas virtuales de exposiciones temporales para el Museo Nacional del Prado,2
20251104_Licitaciones.xlsx,11/20/2025,"MINISTERIO DE VIVIENDA Y AGENDA URBANA. SECRETARÍA GENERAL DE AGENDA URBANA, VIVIENDA Y ARQUITECTURA",contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=OpJlvC2jMJZq1DdmE7eaXg%3D%3D,142990,Servicio de organización y ejecución de dos actos de inauguración de exposiciones y un acto de entrega de premios vinculados a la programación de la Casa de la Arquitectura,3
20251104_Licitaciones.xlsx,11/19/2025,SECRETARÍA GENERAL DE UNIVERSIDADES,contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=sw%2FioXH2OZ9J8Trn0ZPzLw%3D%3D,85625.98,"Servicio para la instalación del STAND del Ministerio de Ciencia, Innovación y Universidades en la Feria Aula 2026",1
20251104_Licitaciones.xlsx,11/18/2025,PRESIDENCIA DEL PATRONATO PROVINCIAL DE TURISMO DE SALAMANCA,contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=Op0geDjvNTiKeVWTb9Scog%3D%3D,40000,"Construcción, decoración, montaje, desmontaje y transporte del Stand para la promoción gastronómica de Salamanca, que presentará el Patronato Provincial de Turismo de Salamanca en Madrid Fusión 2026",1
20251104_Licitaciones.xlsx,11/4/2025,AYUNTAMIENTO DE L'HOSPITALET DE LLOBREGAT (BARCELONA),contractaciopublica.cat/es/detall-publicacio/300605748,360000,"Servicio de producción, colocación, control de seguimiento y posterior retirada de los diferentes elementos comunicacionales y publicitarios del Ayuntamiento de Hospitalet de Llobregat.",1
20251104_Licitaciones.xlsx,11/12/2025,AYUNTAMIENTO DE BARCELONA,licitacions.bcn.cat/licitacion/licitaciones/detalle?id=13420668 1/1,14600,Diseño y producción de elementos de divulgación de la Oficina de Cambio Climático y Sostenibilidad.,3
20251104_Licitaciones.xlsx,12/2/2025,JUNTA DE GOBIERNO DEL AYUNTAMIENTO DE MÓSTOLES (MADRID),contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=32wB4Ui0bdTL1rX3q%2FMAPA%3D%3D,801020,Servicios de inserción de publicidad en medios de comunicación y otros soportes mediante agencia de medios del Ayuntamiento de Móstoles,1
